Region;RFMO;Species;Area
Other regions;ICCAT;Acanthocybium solandri;All areas
Other regions;ICCAT;Alopias superciliosus;All areas
Other regions;ICCAT;Alopias vulpinus;All areas
Other regions;ICCAT;Auxis rochei;All areas
Other regions;ICCAT;Auxis thazard;All areas
Other regions;ICCAT;Carcharhinus falciformis;All areas
Other regions;ICCAT;Carcharhinus longimanus;All areas
Other regions;ICCAT;Carcharhinus spp.;All areas
Other regions;ICCAT;Coryphaena hippurus;All areas
Other regions;ICCAT;Euthynnus alleteratus;All areas
Other regions;ICCAT;Istiophorus albicans;All areas
Other regions;ICCAT;Isurus oxyrinchus;All areas
Other regions;ICCAT;Isurus paucus;All areas
Other regions;ICCAT;Kajikia albida;All areas
Other regions;ICCAT;Katsuwonus pelamis;All areas
Other regions;ICCAT;Lamna nasus;All areas
Other regions;ICCAT;Makaira nigricans (or mazara);All areas
Other regions;ICCAT;Mobula spp.;All areas
Other regions;ICCAT;Orcynopsis unicolor;All areas
Other regions;ICCAT;Prionace glauca;All areas
Other regions;ICCAT;Rhincodon typus;All areas
Other regions;ICCAT;Sarda sarda;All areas
Other regions;ICCAT;Scomberomorus brasiliensis;All areas
Other regions;ICCAT;Scomberomorus cavalla;All areas
Other regions;ICCAT;Scomberomorus maculatus;All areas
Other regions;ICCAT;Scomberomorus regalis;All areas
Other regions;ICCAT;Scomberomorus tritor;All areas
Other regions;ICCAT;Sphyrna lewini;All areas
Other regions;ICCAT;Sphyrna mokarran;All areas
Other regions;ICCAT;Sphyrna zygaena;All areas
Other regions;ICCAT;Tetrapturus belone;All areas
Other regions;ICCAT;Tetrapturus georgii;All areas
Other regions;ICCAT;Tetrapturus fluegeri;All areas
Other regions;ICCAT;Thunnus alalunga;All areas
Other regions;ICCAT;Thunnus albacares;All areas
Other regions;ICCAT;Thunnus atlanticus;All areas
Other regions;ICCAT;Thunnus obesus;All areas
Other regions;ICCAT;Thunnus thynnus;All areas
Other regions;ICCAT;Xiphias gladius;All areas
Other regions;IOTC;Acanthocybium solandri;All areas
Other regions;IOTC;Alopias pelagicus;All areas
Other regions;IOTC;Alopias superciliosus;All areas
Other regions;IOTC;Auxis rochei;All areas
Other regions;IOTC;Auxis thazard;All areas
Other regions;IOTC;Carcharhinus falciformis;All areas
Other regions;IOTC;Carcharhinus longimanus;All areas
Other regions;IOTC;Carcharhinus spp.;All areas
Other regions;IOTC;Coryphaena hippurus;All areas
Other regions;IOTC;Euthynnus affinis;All areas
Other regions;IOTC;Istiompax indica;All areas
Other regions;IOTC;Istiophorus platypterus;All areas
Other regions;IOTC;Isurus oxyrinchus;All areas
Other regions;IOTC;Isurus paucus;All areas
Other regions;IOTC;Katsuwonus pelamis;All areas
Other regions;IOTC;Lamna nasus;All areas
Other regions;IOTC;Makaira nigricans (or mazara);All areas
Other regions;IOTC;Mobula spp.;All areas
Other regions;IOTC;Prionace glauca;All areas
Other regions;IOTC;Rhincodon typus;All areas
Other regions;IOTC;Scomberomorus guttatus;All areas
Other regions;IOTC;Scomberomorus commerson;All areas
Other regions;IOTC;Thunnus tonggol;All areas
Other regions;IOTC;Sphyrna lewini;All areas
Other regions;IOTC;Sphyrna mokarran;All areas
Other regions;IOTC;Sphyrna zygaena;All areas
Other regions;IOTC;Tetrapturus audax;All areas
Other regions;IOTC;Tetrapturus angustirostris;All areas
Other regions;IOTC;Thunnus alalunga;All areas
Other regions;IOTC;Thunnus albacares;All areas
Other regions;IOTC;Thunnus obesus;All areas
Other regions;IOTC;Xiphias gladius;All areas
